id,city,street,number,building,block,km,estate,additional,phone
SDEK_SAR25,Саратов,улица имени В.М. Азина,30,,,,,"
 Адрес от СДЭКА: ул. Азина, 30
 Инструкция от СДЭКА: 16-й квартал",+7(845)2538889
SDEK_BRN30,Барнаул,Балтийская улица,116,,,,,"
 Адрес от СДЭКА: ул. Балтийская, 116
 Инструкция от СДЭКА: ул. Сергея Ускова, 25",+7(800)7753553
SDEK_MSK427,Москва,Алтуфьевское шоссе,97,,,,,"
 Адрес от СДЭКА: Алтуфьевское ш., 97
 Инструкция от СДЭКА: 6-й микрорайон Бибирева",+7(800)7753553
SDEK_NSK168,Новосибирск,улица Ключ-Камышенское Плато,7/1,,,,,"
 Адрес от СДЭКА: ул. Ключ-Камышенское Плато, 7/1
 Инструкция от СДЭКА: Ключ-Камышенское плато",+7(800)7753553
SDEK_NVR8,Новороссийск,улица Энгельса,82,,,,,"
 Адрес от СДЭКА: ул. Энгельса, 78
 Инструкция от СДЭКА: Ул.Серова ; ул. Толстова ; ТК Галерея",+7(989)2498310
SDEK_BSL1,Беслан,улица Мира,15,,,,,"
 Адрес от СДЭКА: ул. Мира, 15
 Инструкция от СДЭКА: Россельхозбанк",+7(938)8849271
SDEK_MSK587,Москва,Азовская улица,6,,2,,,"
 Адрес от СДЭКА: ул. Азовская, 6, корп. 2
 Инструкция от СДЭКА: Болотниковская улица (остановка Поликлиника)",+7(495)1432788
SDEK_IRK5,Иркутск,улица Лермонтова,144/1,,,,,"
 Адрес от СДЭКА: ул.  Лермонтова, 144/1
 Инструкция от СДЭКА: Институт микрохирургии глаза, Троллейбусное депо",+7(395)2654789
SDEK_KRN10,Красногорск,бульвар Космонавтов,6,,,,,"
 Адрес от СДЭКА: бульвар Космонавтов, 6
 Инструкция от СДЭКА: Леспаркхоз",+7(499)4440307
SDEK_MSK162,Москва,Часовая улица,10/1,,,,,"
 Адрес от СДЭКА: ул. Часовая, 10/1
 Инструкция от СДЭКА: Ленинградский рынок-кинотеатр Баку",+7(495)1222570
SDEK_VLM3,Волоколамск,улица Панфилова,5,,,,,"
 Адрес от СДЭКА: ул. Панфилова, 20
 Инструкция от СДЭКА: Почта",+7(499)1300885
SDEK_SPB279,Санкт-Петербург,улица Дыбенко,16,,,,,"
 Адрес от СДЭКА: ул. Дыбенко, 16
 Инструкция от СДЭКА: ул. Дыбенко",+7(800)7753553
SDEK_MSK391,Москва,Большая Косинская улица,16,,1,,,"
 Адрес от СДЭКА: БОЛЬШАЯ КОСИНСКАЯ, 16
 Инструкция от СДЭКА: Универсам",+7(800)7753553
SDEK_MSK106,Москва,Шипиловская улица,58,,1,,,"
 Адрес от СДЭКА: ул. Шипиловская, 58, к.1
 Инструкция от СДЭКА: Шипиловская",+7(499)3808577
SDEK_PAR6,посёлок Парголово,Приозерское шоссе,16,,1,,,"
 Адрес от СДЭКА: Приозерское шоссе, 16к1
 Инструкция от СДЭКА: Осиновая роща-1",+7(800)7753553
SDEK_ALK1,Алейск,Пионерская улица,150,,,,,"
 Адрес от СДЭКА: ул. Пионерская, 150
 Инструкция от СДЭКА: Церковь или Переулок Гаврилина (150 м)",+7(953)0368990
SDEK_VDN5,Видное,Советская улица,,,,,,"
 Адрес от СДЭКА: ул. Советская, 10/1
 Инструкция от СДЭКА: Кинотеатр",+7(977)7334785
SDEK_NSK7,Новосибирск,улица Зорге,1А,,,,,"
 Адрес от СДЭКА: ул. Зорге, 1а
 Инструкция от СДЭКА: Зорге",+7(923)1555992
SDEK_KON4,Конаково,проспект Ленина,11А,,,,,"
 Адрес от СДЭКА: пр-т. Ленина, 11А
 Инструкция от СДЭКА: Дом быта",+7(800)7753553
SDEK_UFA36,Уфа,Революционная улица,98,,1,,,"
 Адрес от СДЭКА: ул. Революционная, 98/1 блок А
 Инструкция от СДЭКА: ул. Владивостокская",+7(800)7753553
SDEK_SHCHLK10,Щёлково,микрорайон Богородский,10,,2,,,"
 Адрес от СДЭКА: мкр. Богородский, 10, корп. 2
 Инструкция от СДЭКА: Щёлково-7",+7(985)4825273
SDEK_KSD125,Краснодар,Восточно-Кругликовская улица,72,,,,,"
 Адрес от СДЭКА: ул. Восточно-Кругликовская, 72
 Инструкция от СДЭКА: Домбайская",+7(861)2176223
SDEK_FRN2,Фрязино,проспект Мира,29,,,,,"
 Адрес от СДЭКА: ул. Мира, 29
 Инструкция от СДЭКА: Чижово",+7(903)2916749
SDEK_KMN7,Камышин,улица Героя Советского Союза В.А. Федоркова,2,,,,,"
 Адрес от СДЭКА: ул. Героя Советского Союза В.А. Федоркова, 2
 Инструкция от СДЭКА: ДДТ",+7(800)7753553
SDEK_SPD30,Мурино,Привокзальная площадь,1А,,1,,,"
 Адрес от СДЭКА: Привокзальная площадь, 1Ак1
 Инструкция от СДЭКА: Девяткино",+7(800)7753553
SDEK_UTK1,Усть-Катав,3-й микрорайон,9,,,,,"
 Адрес от СДЭКА: ул. Микрорайон 3, 9, пав. 1
 Инструкция от СДЭКА: Магнит",+7(996)2345471
SDEK_MSK674,Москва,улица Ивана Франко,8,,,,,"
 Адрес от СДЭКА: ул. Ивана Франко, 8
 Инструкция от СДЭКА: МЦД Кунцевская",+7(800)7753553
SDEK_KZN79,Казань,Дубравная улица,51Г,,,,,"
 Адрес от СДЭКА: ул. Дубравная, 51Г
 Инструкция от СДЭКА: Деревня Универсиады",+7(800)7753553
SDEK_KHME15,Химки,улица Марии Рубцовой,7,,,,,"
 Адрес от СДЭКА: ул. Марии Рубцовой, 7
 Инструкция от СДЭКА: Стокманн",+7(926)7538227
SDEK_SPB442,Санкт-Петербург,Ленинский проспект,118,,,,,"
 Адрес от СДЭКА: пр-т. Ленинский, 118
 Инструкция от СДЭКА: Зины Портновой (Ленинский проспект)",+7(800)7753553
SDEK_SAM12,Самара,Ново-Вокзальная улица,217,,,,,"
 Адрес от СДЭКА: ул. Ново-Вокзальная, 217
 Инструкция от СДЭКА: Московское шоссе (ул. Ново-Вокзальная)",+7(846)2217137
SDEK_PSK10,Псков,Рижский проспект,16,,,,,"
 Адрес от СДЭКА: пр-т. Рижский, 16
 Инструкция от СДЭКА: ул. Петровская",+7(800)7753553
SDEK_BRK22,Брянск,проспект Ленина,67,,,,,"
 Адрес от СДЭКА: проспект Ленина, 67
 Инструкция от СДЭКА: Площадь Революции",+7(800)7753553
SDEK_UTI2,Усть-Илимск,улица Героев Труда,21,,,,,"
 Адрес от СДЭКА: ул. Героев Труда, 21 б
 Инструкция от СДЭКА: Городская поликлиника №2",+7(950)1486888
SDEK_MSK455,Москва,улица Перерва,31,,,,,"
 Адрес от СДЭКА: ул. Перерва, 31
 Инструкция от СДЭКА: Улица Перерва, 56",+7(967)0895043
SDEK_SPB105,Санкт-Петербург,2-й Муринский проспект,38,,,,,"
 Адрес от СДЭКА: пр-т 2-й Муринский, 38
 Инструкция от СДЭКА: Площадь Мужества",+7(928)6310807
SDEK_OMS23,Омск,проспект Мира,92,,,,,"
 Адрес от СДЭКА: пр-т Мира, 92
 Инструкция от СДЭКА: ДОК",+7(991)3809119
SDEK_KSHL6,Подольск,Симферопольская улица,17,,,,,"
 Адрес от СДЭКА: ул. Симферопольская, 17
 Инструкция от СДЭКА: ?Сергеевский поворот",+7(800)7753553
SDEK_VLD16,Владимир,проспект Ленина,10,,,,,"
 Адрес от СДЭКА: пр-т. Ленина, 10
 Инструкция от СДЭКА: ул. Пичугина",+7(492)2377003
SDEK_SOYE6,поселение Сосенское,бульвар Веласкеса,6,,,,,"
 Адрес от СДЭКА: б-р Веласкеса, 6
 Инструкция от СДЭКА: Бульвар Веласкеса",+7(800)7753553
SDEK_SOL7,Старый Оскол,микрорайон Надежда,4,,,,,"
 Адрес от СДЭКА: мкр. Надежда, 4
 Инструкция от СДЭКА: Налоговая инспекция",+7(800)7753553
SDEK_KUR14,Каменск-Уральский,проспект Победы,19А,,,,,"
 Адрес от СДЭКА: Проспект Победы, 19а
 Инструкция от СДЭКА: Им. Героя Кунавина",+7(919)3744064
SDEK_VLK37,Владивосток,улица Котельникова,13,,,,,"
 Адрес от СДЭКА: ул. Котельникова, 13
 Инструкция от СДЭКА: Школа милиции",+7(914)3432304
SDEK_MSK814,Москва,Саянская улица,8А,,,,,"
 Адрес от СДЭКА: Саянская улица, 8А
 Инструкция от СДЭКА: Саянская д.5",+7(800)7753553
SDEK_YEKB7,Екатеринбург,улица Амундсена,56А,,,,,"
 Адрес от СДЭКА: ул. Амундсена, 56А, 1
 Инструкция от СДЭКА: Амундсена",+7(982)7583635
SDEK_MSK219,Москва,улица Мусоргского,5,,3,,,"
 Адрес от СДЭКА: ул.Мусоргского, 5, корп. 3
 Инструкция от СДЭКА: ул. Мусоргского",+7(929)5634971
SDEK_MSK474,Москва,Люблинская улица,21,,1,,,"
 Адрес от СДЭКА: ул. Люблинская, 21 корп. 1
 Инструкция от СДЭКА: Люблинский рынок",+7(967)0639907
SDEK_KVR4,Ковров,улица Строителей,27/2,,,,,"
 Адрес от СДЭКА: ул. Строителей, 27/2
 Инструкция от СДЭКА: ТЦ “Русь”",+7(920)9406669
SDEK_KED1,Кемерово,Строительная улица,2А,,,,,"
 Адрес от СДЭКА: ул. Строительная, 2А
 Инструкция от СДЭКА: Училище 69",+7(901)6169706
SDEK_SCH49,посёлок городского типа Сириус,Железнодорожный переезд,1,,,,,"
 Адрес от СДЭКА: ул. Железнодорожный переезд, 1
 Инструкция от СДЭКА: Торговый Дом Подкова",+7(862)2257626
SDEK_KSD7,Краснодар,проспект Чекистов,24/1,,,,,"
 Адрес от СДЭКА: пр-кт Чекистов, 24/1
 Инструкция от СДЭКА: Торговый центр",+7(918)1700764
SDEK_NSK158,Новосибирск,улица Бориса Богаткова,190,,,,,"
 Адрес от СДЭКА: УЛ. БОРИСА БОГАТКОВА, 190
 Инструкция от СДЭКА: Гаранина",+7(995)1011009
SDEK_SPB498,Санкт-Петербург,Будапештская улица,72,,1,,,"
 Адрес от СДЭКА: ул. Будапештская, 72, корп.1
 Инструкция от СДЭКА: Димитрова (ул. Будапештская)",+7(800)7753553
SDEK_ADY3,Адыгейск,улица Чайковского,4А,,,,,"
 Адрес от СДЭКА: Чайковского, 4а/4
 Инструкция от СДЭКА: Улица Чайковского",+7(952)8343525
SDEK_NSK81,Новосибирск,улица Бориса Богаткова,248А,,,,,"
 Адрес от СДЭКА: ул. Бориса Богаткова, 248а
 Инструкция от СДЭКА: Золотая Нива",+7(906)1946080
SDEK_MSK822,Москва,улица Красного Маяка,15Б,,,,,"
 Адрес от СДЭКА: ул. Красного Маяка, 15Б
 Инструкция от СДЭКА: Красный Маяк",+7(800)7753553
SDEK_KIR2,Кировград,улица Свердлова,65,,,,,"
 Адрес от СДЭКА: ул. Свердлова, 65
 Инструкция от СДЭКА: Автобусная станция «Музыкальная школа»",+7(343)5749994
SDEK_SHCHEB15,Москва,1-я Мелитопольская улица,2А,,,,,"
 Адрес от СДЭКА: 1-я Мелитопольская улица, 2А
 Инструкция от СДЭКА: 2-я Мелитопольская",+7(800)7753553
SDEK_GRL1,Санкт-Петербург,Красносельское шоссе,40,,3,,,"
 Адрес от СДЭКА: ш. Красносельское, 40 корп. 3, 16
 Инструкция от СДЭКА: Красносельское шоссе",+7(812)3396075
SDEK_TLT16,Тольятти,Приморский бульвар,57,,,,,"
 Адрес от СДЭКА: б-р Приморский, 57
 Инструкция от СДЭКА: Западный пляж",+7(848)2948410
SDEK_RZN21,Рязань,улица Пирогова,8,,,,,"
 Адрес от СДЭКА: ул Пирогова, 8, помещение Н20
 Инструкция от СДЭКА: Троллейбусное депо № 2",+7(491)2559420
SDEK_RTK7,Реутов,Носовихинское шоссе,45,,,,,"
 Адрес от СДЭКА: Носовихинское шоссе, 45
 Инструкция от СДЭКА: ул. Суздальская, 38",+7(800)7753553
SDEK_SAM48,Самара,Революционная улица,70,,,,,"
 Адрес от СДЭКА: ул. Революционная, 70, стр.3, 105
 Инструкция от СДЭКА: Улица Гаражная",+7(917)1152257
SDEK_SUR24,Сургут,проспект Ленина,74,,,,,"
 Адрес от СДЭКА: проспект Ленина, 74
 Инструкция от СДЭКА: Автовокзал",+7(800)7753553
SDEK_NCHL16,Набережные Челны,проспект Вахитова,14А,,,,,"
 Адрес от СДЭКА: ул. Вахитова, 14а
 Инструкция от СДЭКА: Магазин Глобус",+7(800)7753553
SDEK_SAM6,Самара,Вольская улица,71,,,,,"
 Адрес от СДЭКА: ул. Вольская, 71/42, 1 этаж
 Инструкция от СДЭКА: Кинотеатр Юность",+7(846)2500401
SDEK_SAL2,Сальск,улица Будённого,87,,,,,"
 Адрес от СДЭКА: ул. Буденного, 87
 Инструкция от СДЭКА: ц. Рынок",+7(928)9042223
SDEK_UVT1,село Уват,микрорайон Центральный,11,,,,,"
 Адрес от СДЭКА: мкр. Центральный, 11
 Инструкция от СДЭКА: Автостанция Уват",+7(345)2575594
SDEK_MSK799,Москва,шоссе Энтузиастов,98Б,,,,,"
 Адрес от СДЭКА: шоссе Энтузиастов, 98Б
 Инструкция от СДЭКА: шоссе Энтузиастов д.98",+7(800)7753553
SDEK_SPB382,Санкт-Петербург,Новосмоленская набережная,1,,3Т,,,"
 Адрес от СДЭКА: Новосмоленская набережная, 1, корпус 1
 Инструкция от СДЭКА: Станция метро Приморская",+7(800)7753553
SDEK_YEKB65,Екатеринбург,Алтайская улица,62,,,,,"
 Адрес от СДЭКА: ул. Алтайская, 62
 Инструкция от СДЭКА: Алтайская",+7(996)1811615
SDEK_SPB230,Санкт-Петербург,улица Черняховского,19,,,,,"
 Адрес от СДЭКА: ул. Черняховского, 19
 Инструкция от СДЭКА: Метро Лиговский Проспект",+7(921)7774147
SDEK_MSK138,Москва,Весенняя улица,3,,1,,,"
 Адрес от СДЭКА: ул. Весенняя, 3, корп. 1
 Инструкция от СДЭКА: Ул. Весенняя, станция Ховрино",+7(925)4303378
SDEK_MKHCH14,Махачкала,проспект Али-Гаджи Акушинского,193,,,,,"
 Адрес от СДЭКА: пр-т. Акушинского, 27Р
 Инструкция от СДЭКА: Финансовый колледж",+7(989)8969898
SDEK_CHER2,Черногорск,Советская улица,71,,,,,"
 Адрес от СДЭКА: ул. Советская, 71
 Инструкция от СДЭКА: Россия",+7(913)1795081
SDEK_TLT28,Тольятти,улица Автостроителей,96,,,,,"
 Адрес от СДЭКА: ул. Автостроителей, 96
 Инструкция от СДЭКА: 40 лет Победы",+7(800)7753553
SDEK_SPB316,Санкт-Петербург,Кушелевская дорога,1,,1,,,"
 Адрес от СДЭКА: Кушелевская дор, 1, корп. 1
 Инструкция от СДЭКА: Проспект Маршала Блюхера",+7(800)7753553
SDEK_YEKB58,Екатеринбург,улица Рябинина,29,,,,,"
 Адрес от СДЭКА: ул. Рябинина, 29
 Инструкция от СДЭКА: ул. Рябинина",+7(922)0266704
SDEK_SPB509,Санкт-Петербург,улица Пионерстроя,4,,,,,"
 Адрес от СДЭКА: ул. Пионерстроя, 4
 Инструкция от СДЭКА: Рогачёвский пер.",+7(800)7753553
SDEK_RTK12,Реутов,Комсомольская улица,1А,,,,,"
 Адрес от СДЭКА: ул.Комсомольская, 1А
 Инструкция от СДЭКА: Дзержинского",+7(800)7753553
SDEK_MSK776,Москва,Дубнинская улица,10,,1,,,"
 Адрес от СДЭКА: ул. Дубнинская, 10, корп.1
 Инструкция от СДЭКА: АТС (ул. Дубнинская)",+7(800)7753553
SDEK_UFA25,Уфа,улица Дорофеева,3/2,,,,,"
 Адрес от СДЭКА: ул. Дорофеева, 3 корп.2
 Инструкция от СДЭКА: Государственный комитет РБ по делам юстиции",+7(999)1349593
SDEK_ANP4,Анапа,улица Ленина,195,,,,,"
 Адрес от СДЭКА: ул. Ленина, 195
 Инструкция от СДЭКА: ост. «ЖК Спектр» - 70 м  ост. «Вертуальная» - 97",+7(989)7680950
SDEK_STR5,Стерлитамак,улица Гоголя,101,,,,,"
 Адрес от СДЭКА: ул. Гоголя, 101
 Инструкция от СДЭКА: Улица Полевая",+7(937)3448022
SDEK_NN71,Нижний Новгород,Полтавская улица,30,,,,,"
 Адрес от СДЭКА: Ул. Полтавская, 30
 Инструкция от СДЭКА: Торговый центр Куб",+7(800)7753553
SDEK_SPB81,Санкт-Петербург,проспект Римского-Корсакова,39,,,,,"
 Адрес от СДЭКА: пр-т Римского-Корсакова, 39
 Инструкция от СДЭКА: Римского-Корсакова д.39",+7(937)2940590
SDEK_KLP7,Колпино,Финляндская улица,24,,,,,"
 Адрес от СДЭКА: ул. Финляндская, 24 лит. А
 Инструкция от СДЭКА: ул. Финляндская",+7(911)7687025
SDEK_MSK829,Москва,Алтуфьевское шоссе,2А,,,,,"
 Адрес от СДЭКА: ш. Алтуфьевское, 2А
 Инструкция от СДЭКА: Гостиница Восход",+7(800)7753553
SDEK_MOK2,Московский,Солнечная улица,1,,,,,"
 Адрес от СДЭКА: ул. Солнечная, 1
 Инструкция от СДЭКА: Радужный проезд",+7(963)2707545
SDEK_KRZH1,Киржач,улица Гагарина,15,,,,,"
 Адрес от СДЭКА: ул. Гагарина, 15
 Инструкция от СДЭКА: Баня, Центр",+7(905)6175105
SDEK_ULN11,Ульяновск,улица Шолмова,11,,,,,"
 Адрес от СДЭКА: Меркурий/ул.  Шолмова, 11
 Инструкция от СДЭКА: «Меркурий»",+7(842)2273313
SDEK_KLM7,Коломна,Октябрьская улица,45А,,,,,"
 Адрес от СДЭКА: УЛ. ОКТЯБРЬСКАЯ, 45а
 Инструкция от СДЭКА: Красноармейская улица Остановка",+7(800)7753553
SDEK_MSK462,Москва,Рязанский проспект,30/15,,,,,"
 Адрес от СДЭКА: пр-т. Рязанский, 30/15
 Инструкция от СДЭКА: Метро Окская",+7(800)7753553
SDEK_CHEL38,Челябинск,шоссе Металлургов,70,,,,,"
 Адрес от СДЭКА: шоссе Металлургов, 70
 Инструкция от СДЭКА: Центральный клуб",+7(919)3562583
SDEK_SAM44,Самара,Ленинградская улица,64,,,,,"
 Адрес от СДЭКА: ул. Ленинградская, 64, ТЦ Опера, 2 этаж
 Инструкция от СДЭКА: ул. Ленинградская",+7(800)7753553
SDEK_SPB283,Санкт-Петербург,Комендантский проспект,60,,3,,,"
 Адрес от СДЭКА: пр-т. Комендантский, 60, корп. 3
 Инструкция от СДЭКА: ул. Плесецкая",+7(931)9636199
SDEK_MSK103,Москва,Нагорный бульвар,5,,2,,,"
 Адрес от СДЭКА: Нагорный б-р, 5, корп. 2, пом. 4
 Инструкция от СДЭКА: Нагорный бульвар",+7(499)1275936
SDEK_BOB5,рабочий посёлок Боброво,Лесная улица,18,,,,,"
 Адрес от СДЭКА: ул. Лесная, 18
 Инструкция от СДЭКА: Восточное Бутово",+7(915)2511200
SDEK_ARS2,Арзамас,улица Кольцова,4,,,,,"
 Адрес от СДЭКА: ул. Кольцова, 4
 Инструкция от СДЭКА: ул. Кольцова",+7(920)0787099
SDEK_MSK423,Москва,Большая Черкизовская улица,26,,6,,,"
 Адрес от СДЭКА: ул. Большая Черкизовская, 26, к.6
 Инструкция от СДЭКА: РЖД Арена",+7(800)7753553
SDEK_KZN36,Казань,Чистопольская улица,60,,,,,"
 Адрес от СДЭКА: ул. Чистопольская, 60
 Инструкция от СДЭКА: Остановка Чистопольская улица / Леруа Мерлен",+7(960)0679953
SDEK_MSK167,Москва,Дмитровский проезд,4,,,,,"
 Адрес от СДЭКА: пр. Дмитровский, 4
 Инструкция от СДЭКА: Метро Дмитровская",+7(929)5464771
SDEK_KRL6,Королёв,улица 50-летия ВЛКСМ,6А,,,,,"
 Адрес от СДЭКА: ул. 50 лет ВЛКСМ, 6а, ТЦ Мегаполис-1, 1 этаж, пав. 1-6
 Инструкция от СДЭКА: Аптека",+7(499)4951268
SDEK_KLN5,Клин,"Ленинградское шоссе, 88-й километр",,,,,,"
 Адрес от СДЭКА: ЛЕНИНГРАДСКОЕ ШОССЕ, 88-й км стр 57
 Инструкция от СДЭКА: Улица Новоямская",+7(926)3561327
SDEK_KKS3,Каспийск,улица Ленина,11,,,,,"
 Адрес от СДЭКА: ул. Ленина, 11
 Инструкция от СДЭКА: Площадь Ленина",+7(928)8704143
SDEK_TKV1,Тейково,улица Новоженова,3В,,,,,"
 Адрес от СДЭКА: ул. Новоженова, 3В
 Инструкция от СДЭКА: ""Гвардейская"", ""Магазин №5""",+7(902)2430099
SDEK_ZHLD18,Балашиха,Косинское шоссе,5/7,,,,,"
 Адрес от СДЭКА: Косинское шоссе, 5/7
 Инструкция от СДЭКА: Бояринова",+7(800)7753553
SDEK_KSK38,Красноярск,проспект имени Газеты Красноярский Рабочий,90,,,,,"
 Адрес от СДЭКА: пр-т. Красноярский рабочий, 90
 Инструкция от СДЭКА: 30 метров детская поликлиника",+7(391)2408282
SDEK_PNZ12,Пенза,проспект Строителей,1В,,,,,"
 Адрес от СДЭКА: проспект Строителей, 1В
 Инструкция от СДЭКА: ТЦ Коллаж",+7(800)7753553
SDEK_OMS86,Омск,улица Кирова,16,,3,,,"
 Адрес от СДЭКА: ул. Кирова, 16, корп. 3
 Инструкция от СДЭКА: ул. 11-я Рабочая",+7(800)7753553
SDEK_MED2,Медногорск,улица Герцена,1,,,,,"
 Адрес от СДЭКА: ул. Герцена, 1
 Инструкция от СДЭКА: Автовокзал",+7(903)3992262
SDEK_KRV9,Киров,улица Воровского,137Б,,,,,"
 Адрес от СДЭКА: ул. Воровского, 137б
 Инструкция от СДЭКА: Площадь Маршала Конева",+7(912)3759202
SDEK_ILS1,посёлок городского типа Ильский,улица Мира,199,,,,,"
 Адрес от СДЭКА: ул. Мира, 199/3
 Инструкция от СДЭКА: Перекресток",+7(918)0994556
